"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"benchmarks.Benchmark_FusedPipelines.filters_Algebras_FusedPull","avgt",1,20,44.738953985572465,1.5773523740716655,"ms/op"
"benchmarks.Benchmark_FusedPipelines.filters_Algebras_NotFusedPull","avgt",1,20,63.081538172910214,1.4940518115440256,"ms/op"
"benchmarks.Benchmark_FusedPipelines.filters_Java8Streams","avgt",1,20,49.37538479486166,1.2605314263990424,"ms/op"
"benchmarks.Benchmark_FusedPipelines.maps_Algebras_FusedPull","avgt",1,20,59.87067622815789,1.2903122128406515,"ms/op"
"benchmarks.Benchmark_FusedPipelines.maps_Algebras_NotFusedPull","avgt",1,20,79.79292680510073,4.879026018493708,"ms/op"
"benchmarks.Benchmark_FusedPipelines.maps_Java8Streams","avgt",1,20,64.95217578726194,7.876653978523705,"ms/op"
"benchmarks.Benchmark_SimpleBoxedPipelines.cart_AlgebrasPull","avgt",1,20,159.52088369017855,3.828013889732704,"ms/op"
"benchmarks.Benchmark_SimpleBoxedPipelines.cart_AlgebrasPush","avgt",1,20,149.34509841785717,3.456710816426806,"ms/op"
"benchmarks.Benchmark_SimpleBoxedPipelines.cart_Baseline","avgt",1,20,60.47152607821637,0.9186325758386152,"ms/op"
"benchmarks.Benchmark_SimpleBoxedPipelines.cart_Java8Streams","avgt",1,20,158.53904972499998,3.8068927340951486,"ms/op"
"benchmarks.Benchmark_SimpleBoxedPipelines.filter_count_AlgebrasPull","avgt",1,20,4.667960961374815,0.20362385597020205,"ms/op"
"benchmarks.Benchmark_SimpleBoxedPipelines.filter_count_AlgebrasPush","avgt",1,20,3.8512927249464872,0.036985451144378664,"ms/op"
"benchmarks.Benchmark_SimpleBoxedPipelines.filter_count_Baseline","avgt",1,20,6.12139643327794,0.06401517501137677,"ms/op"
"benchmarks.Benchmark_SimpleBoxedPipelines.filter_count_Java8Streams","avgt",1,20,4.164209789030043,0.06657090600942392,"ms/op"
